t_s,ia_ufv_pu,ib_ufv_pu,ic_ufv_pu,va_ufv_pu,vb_ufv_pu,vc_ufv_pu
0.438,1.49320459102988,0.00543484026552456,-1.4986394312954,0.326411470440232,-0.276262871417922,-0.0501485990223087
0.43805,1.46365034432622,0.0533333433487451,-1.51698368767496,0.323995159738672,-0.267037632787969,-0.0569575269507029
0.4381,1.43368524138687,0.101268994742766,-1.53495423612964,0.32207199986533,-0.25796527843775,-0.0641067214275815
0.43815,1.40336247978325,0.149228034932109,-1.55259051471536,0.320613437106317,-0.249043063771089,-0.07157037333523
0.4382,1.372717646405,0.197204742545517,-1.56992238895052,0.319592827001074,-0.240268792388813,-0.0793240346122624
0.43825,1.34177252303193,0.245199447125696,-1.58697197015763,0.318986246642815,-0.231641114461837,-0.0873451321809788
0.4383,1.31053890641714,0.293216573720487,-1.60375548013763,0.318772555031944,-0.223159472620507,-0.0956130824114383
0.43835,1.27902217198896,0.341262842104754,-1.62028501409372,0.318932959110505,-0.214823816234477,-0.10410914287603
0.4384,1.24587271538574,0.387994011348787,-1.63386672673453,0.314844720079012,-0.211239769715598,-0.103604950363415
0.43845,1.21162447253653,0.433949514920796,-1.64557398745732,0.312670603836002,-0.206227930381981,-0.106442673454021
0.4385,1.1766958859855,0.479550421349677,-1.65624630733518,0.312016978984107,-0.200164559925102,-0.111852419059006
0.43855,1.14140444610038,0.525111841312003,-1.66651628741239,0.312546699359992,-0.1933676784933,-0.119179020866693
0.4386,1.10462907599276,0.569503990420554,-1.67413306641332,0.309370841147257,-0.19070454946079,-0.118666291686465
0.43865,1.06570874542256,0.612050190421218,-1.67775893584377,0.303830887377735,-0.190808997200225,-0.11302189017751
0.4387,1.02569084646544,0.65377521865628,-1.67946606512172,0.301544373210176,-0.18803552579193,-0.113508847418245
0.43875,0.98400395074832,0.694078496842999,-1.67808244759132,0.297066669224979,-0.187797523169016,-0.109269146055963
0.4388,0.940379712879304,0.732656749722767,-1.67303646260207,0.291280624671137,-0.189177817591679,-0.102102807079458
0.43885,0.894773601553543,0.76942569814199,-1.66419929969553,0.284828772371245,-0.191496821927438,-0.0933319504438074
0.4389,0.8486495830787,0.805805807978819,-1.65445539105752,0.282763674834076,-0.189662651393936,-0.0931010234401385
0.43895,0.801687690712672,0.841430948742774,-1.64311863945545,0.279198071812171,-0.189521496318551,-0.0896765754936197
0.439,0.753739356025505,0.876104769888405,-1.62984412591391,0.274682076159722,-0.19048099282187,-0.0842010833378536
0.43905,0.704778783565016,0.909753032619629,-1.61453181618465,0.269621185970926,-0.192092772875464,-0.0775284130954595
0.4391,0.656215131061601,0.943736630152633,-1.59995176121423,0.268910893435664,-0.189418398761408,-0.0794924946742556
0.43915,0.607624338771832,0.977584130330217,-1.58520846910205,0.266570523171822,-0.188396016132874,-0.0781745070389465
0.4392,0.558725324542566,1.01096855137523,-1.5696938759178,0.263104846353207,-0.188479196243291,-0.0746256501099146
0.43925,0.509348578040744,1.04367641354871,-1.55302499158946,0.258908220997715,-0.189233192919627,-0.0696750280780877
